migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.0001,0.75,0.001,0,PMEC,0.028103180893949253,0.02998753662554488
0.0005,0.0001,0.75,0.001,0,VM,0.0,0.0
0.0005,0.0001,0.75,0.001,0,Other,0.026511609155058583,0.028303750197985623
0.0005,0.0001,0.75,0.001,1,PMEC,0.027995377642797612,0.02994916188957889
0.0005,0.0001,0.75,0.001,1,VM,0.0,0.0
0.0005,0.0001,0.75,0.001,1,Other,0.026616213580530356,0.02858403577423579
0.0005,0.0001,0.75,0.001,2,PMEC,0.027372451786059723,0.029144437055116743
0.0005,0.0001,0.75,0.001,2,VM,0.0,0.0
0.0005,0.0001,0.75,0.001,2,Other,0.02580759362837628,0.027695076601302986
0.0005,0.0001,0.75,0.005,0,PMEC,0.0271890141061117,0.03229782703784706
0.0005,0.0001,0.75,0.005,0,VM,0.0,0.0
0.0005,0.0001,0.75,0.005,0,Other,0.02572368552910191,0.031986162931415575
0.0005,0.0001,0.75,0.005,1,PMEC,0.028535149396950437,0.033473898674576494
0.0005,0.0001,0.75,0.005,1,VM,0.0,0.0
0.0005,0.0001,0.75,0.005,1,Other,0.026145247232579143,0.03193752357166809
0.0005,0.0001,0.75,0.005,2,PMEC,0.02666185882558108,0.03217663314699819
0.0005,0.0001,0.75,0.005,2,VM,0.0,0.0
0.0005,0.0001,0.75,0.005,2,Other,0.025040256597424898,0.03176441167035168
0.0005,0.0001,0.75,0.01,0,PMEC,0.024061623324396188,0.03297750284168712
0.0005,0.0001,0.75,0.01,0,VM,0.0,0.0
0.0005,0.0001,0.75,0.01,0,Other,0.021016333758555775,0.03267565392521376
0.0005,0.0001,0.75,0.01,1,PMEC,0.0239427324299385,0.03327357184342339
0.0005,0.0001,0.75,0.01,1,VM,0.0,0.0
0.0005,0.0001,0.75,0.01,1,Other,0.02130759876893883,0.03285219490784022
0.0005,0.0001,0.75,0.01,2,PMEC,0.022060000378649577,0.0320660271541064
0.0005,0.0001,0.75,0.01,2,VM,0.0,0.0
0.0005,0.0001,0.75,0.01,2,Other,0.02047983367624019,0.03236296579433608
0.0005,0.0001,0.75,0.05,0,PMEC,0.011367006298161304,0.04480139458257713
0.0005,0.0001,0.75,0.05,0,VM,0.0,0.0
0.0005,0.0001,0.75,0.05,0,Other,0.005660391887448544,0.04604272926113436
0.0005,0.0001,0.75,0.05,1,PMEC,0.012488791691971337,0.04489376102317839
0.0005,0.0001,0.75,0.05,1,VM,0.0,0.0
0.0005,0.0001,0.75,0.05,1,Other,0.0061766350030251806,0.0462151831129205
0.0005,0.0001,0.75,0.05,2,PMEC,0.012870043812230272,0.04515908854228315
0.0005,0.0001,0.75,0.05,2,VM,0.0,0.0
0.0005,0.0001,0.75,0.05,2,Other,0.006449955926844118,0.04612416941370332
0.0005,0.0001,0.75,0.1,0,PMEC,0.007634349075259902,0.06776068612169393
0.0005,0.0001,0.75,0.1,0,VM,0.0,0.0
0.0005,0.0001,0.75,0.1,0,Other,0.0046770627111241535,0.06930545712542077
0.0005,0.0001,0.75,0.1,1,PMEC,0.006428103764207464,0.06781487025129114
0.0005,0.0001,0.75,0.1,1,VM,0.0,0.0
0.0005,0.0001,0.75,0.1,1,Other,0.004733621330784192,0.06909950519942497
0.0005,0.0001,0.75,0.1,2,PMEC,0.007354821255428756,0.06751131530332627
0.0005,0.0001,0.75,0.1,2,VM,0.0,0.0
0.0005,0.0001,0.75,0.1,2,Other,0.0038965302453126817,0.06948415893065715
0.0005,0.0001,1,0.001,0,PMEC,0.029125467789175616,0.030983006555741124
0.0005,0.0001,1,0.001,0,VM,0.0,0.0
0.0005,0.0001,1,0.001,0,Other,0.02642535810540648,0.028154373845834198
0.0005,0.0001,1,0.001,1,PMEC,0.03001117885387862,0.03191580630848918
0.0005,0.0001,1,0.001,1,VM,0.0,0.0
0.0005,0.0001,1,0.001,1,Other,0.027009291494183567,0.02897139117695573
0.0005,0.0001,1,0.001,2,PMEC,0.029042015205817888,0.03064334353814039
0.0005,0.0001,1,0.001,2,VM,0.0,0.0
0.0005,0.0001,1,0.001,2,Other,0.027704581171532756,0.029438787704276118
0.0005,0.0001,1,0.005,0,PMEC,0.028389945370520846,0.03320619604001544
0.0005,0.0001,1,0.005,0,VM,0.0,0.0
0.0005,0.0001,1,0.005,0,Other,0.025788034235271175,0.0315014560205255
0.0005,0.0001,1,0.005,1,PMEC,0.026614651524925776,0.03230999782035163
0.0005,0.0001,1,0.005,1,VM,0.0,0.0
0.0005,0.0001,1,0.005,1,Other,0.02586219007060159,0.03199247466089865
0.0005,0.0001,1,0.005,2,PMEC,0.026957095716333344,0.03206831842056985
0.0005,0.0001,1,0.005,2,VM,0.0,0.0
0.0005,0.0001,1,0.005,2,Other,0.025145693716442437,0.031146949232835428
0.0005,0.0001,1,0.01,0,PMEC,0.022751277187680125,0.03240711644966822
0.0005,0.0001,1,0.01,0,VM,0.0,0.0
0.0005,0.0001,1,0.01,0,Other,0.020134925304768805,0.032238314297668484
0.0005,0.0001,1,0.01,1,PMEC,0.02299896137627003,0.031889147555072196
0.0005,0.0001,1,0.01,1,VM,0.0,0.0
0.0005,0.0001,1,0.01,1,Other,0.020261278625490594,0.03259973342078906
0.0005,0.0001,1,0.01,2,PMEC,0.023203707770515912,0.03276806746497281
0.0005,0.0001,1,0.01,2,VM,0.0,0.0
0.0005,0.0001,1,0.01,2,Other,0.02117728865868268,0.03237250918214223
0.0005,0.0001,1,0.05,0,PMEC,0.010831262386180322,0.04520236475184973
0.0005,0.0001,1,0.05,0,VM,0.0,0.0
0.0005,0.0001,1,0.05,0,Other,0.005907789671493892,0.04621086873932614
0.0005,0.0001,1,0.05,1,PMEC,0.012239977952217868,0.04522330538247266
0.0005,0.0001,1,0.05,1,VM,0.0,0.0
0.0005,0.0001,1,0.05,1,Other,0.0067315977514264,0.046155066178573484
0.0005,0.0001,1,0.05,2,PMEC,0.011858893792020386,0.0449591841587318
0.0005,0.0001,1,0.05,2,VM,0.0,0.0
0.0005,0.0001,1,0.05,2,Other,0.005926543365719136,0.046389378069128365
0.0005,0.0001,1,0.1,0,PMEC,0.0075137198445519955,0.06825574030922307
0.0005,0.0001,1,0.1,0,VM,0.0,0.0
0.0005,0.0001,1,0.1,0,Other,0.004429362376287312,0.06877650151368558
0.0005,0.0001,1,0.1,1,PMEC,0.007511083751474562,0.06795756283582176
0.0005,0.0001,1,0.1,1,VM,0.0,0.0
0.0005,0.0001,1,0.1,1,Other,0.004305658317272951,0.06912214677977739
0.0005,0.0001,1,0.1,2,PMEC,0.008492699864849596,0.06772353095215956
0.0005,0.0001,1,0.1,2,VM,0.0,0.0
0.0005,0.0001,1,0.1,2,Other,0.004698736629405411,0.06893774232228454
0.0005,0.0001,1.5,0.001,0,PMEC,0.028488308691857103,0.030587642065273063
0.0005,0.0001,1.5,0.001,0,VM,0.0,0.0
0.0005,0.0001,1.5,0.001,0,Other,0.026599247462686257,0.028879052575411596
0.0005,0.0001,1.5,0.001,1,PMEC,0.026757162666169634,0.028622810079515455
0.0005,0.0001,1.5,0.001,1,VM,0.0,0.0
