migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.0001,0.75,0.001,0,Other,0.026511609,0.02830375
0.0005,0.0005,0.75,0.001,0,Other,0.026286915,0.028362771
0.0005,0.001,0.75,0.001,0,Other,0.024434955,0.026463449
0.0005,0.005,0.75,0.001,0,Other,0.024906991,0.027565784
0.0005,0.01,0.75,0.001,0,Other,0.025388487,0.028980289
0.0005,0.05,0.75,0.001,0,Other,0.022016391,0.030247399
0.0005,0.1,0.75,0.001,0,Other,0.024287596,0.0327343
0.0005,0.0001,0.75,0.001,1,Other,0.026616214,0.028584036
0.0005,0.0005,0.75,0.001,1,Other,0.026171732,0.028083576
0.0005,0.001,0.75,0.001,1,Other,0.025337796,0.02719965
0.0005,0.005,0.75,0.001,1,Other,0.02511806,0.027900875
0.0005,0.01,0.75,0.001,1,Other,0.026611533,0.030112974
0.0005,0.05,0.75,0.001,1,Other,0.021776123,0.030990303
0.0005,0.1,0.75,0.001,1,Other,0.020264195,0.030502816
0.0005,0.0001,0.75,0.001,2,Other,0.025807594,0.027695077
0.0005,0.0005,0.75,0.001,2,Other,0.025689087,0.02778998
0.0005,0.001,0.75,0.001,2,Other,0.025359777,0.027300286
0.0005,0.005,0.75,0.001,2,Other,0.026848047,0.029427043
0.0005,0.01,0.75,0.001,2,Other,0.025646699,0.029740759
0.0005,0.05,0.75,0.001,2,Other,0.020243161,0.02956605
0.0005,0.1,0.75,0.001,2,Other,0.019699218,0.030758639
0.0005,0.0001,0.75,0.001,0,PMEC,0.028103181,0.029987537
0.0005,0.0005,0.75,0.001,0,PMEC,0.027462027,0.029460352
0.0005,0.001,0.75,0.001,0,PMEC,0.025281198,0.027480431
0.0005,0.005,0.75,0.001,0,PMEC,0.025434582,0.02837025
0.0005,0.01,0.75,0.001,0,PMEC,0.025376264,0.030100612
0.0005,0.05,0.75,0.001,0,PMEC,0.013791236,0.029956606
0.0005,0.1,0.75,0.001,0,PMEC,0.012918291,0.03263061
0.0005,0.0001,0.75,0.001,1,PMEC,0.027995378,0.029949162
0.0005,0.0005,0.75,0.001,1,PMEC,0.027638477,0.029355454
0.0005,0.001,0.75,0.001,1,PMEC,0.027209677,0.02935173
0.0005,0.005,0.75,0.001,1,PMEC,0.024587511,0.028153863
0.0005,0.01,0.75,0.001,1,PMEC,0.024746351,0.029346934
0.0005,0.05,0.75,0.001,1,PMEC,0.010321314,0.02984609
0.0005,0.1,0.75,0.001,1,PMEC,0.010305838,0.031679239
0.0005,0.0001,0.75,0.001,2,PMEC,0.027372452,0.029144437
0.0005,0.0005,0.75,0.001,2,PMEC,0.026471549,0.028570118
0.0005,0.001,0.75,0.001,2,PMEC,0.026853453,0.029013304
0.0005,0.005,0.75,0.001,2,PMEC,0.025108416,0.028402055
0.0005,0.01,0.75,0.001,2,PMEC,0.024362218,0.029354078
0.0005,0.05,0.75,0.001,2,PMEC,0.010345198,0.028508423
0.0005,0.1,0.75,0.001,2,PMEC,0.007065593,0.031263861
0.0005,0.0001,0.75,0.001,0,VM,0,0
0.0005,0.0005,0.75,0.001,0,VM,0,0
0.0005,0.001,0.75,0.001,0,VM,0,0
0.0005,0.005,0.75,0.001,0,VM,0,0
0.0005,0.01,0.75,0.001,0,VM,0,0
0.0005,0.05,0.75,0.001,0,VM,0,0
0.0005,0.1,0.75,0.001,0,VM,0,0
0.0005,0.0001,0.75,0.001,1,VM,0,0
0.0005,0.0005,0.75,0.001,1,VM,0,0
0.0005,0.001,0.75,0.001,1,VM,0,0
0.0005,0.005,0.75,0.001,1,VM,0,0
0.0005,0.01,0.75,0.001,1,VM,0,0
0.0005,0.05,0.75,0.001,1,VM,0,0
0.0005,0.1,0.75,0.001,1,VM,0,0
0.0005,0.0001,0.75,0.001,2,VM,0,0
0.0005,0.0005,0.75,0.001,2,VM,0,0
0.0005,0.001,0.75,0.001,2,VM,0,0
0.0005,0.005,0.75,0.001,2,VM,0,0
0.0005,0.01,0.75,0.001,2,VM,0,0
0.0005,0.05,0.75,0.001,2,VM,0,0
0.0005,0.1,0.75,0.001,2,VM,0,0
0.0005,0.0001,0.75,0.005,0,Other,0.025723686,0.031986163
0.0005,0.0005,0.75,0.005,0,Other,0.02581356,0.031633303
0.0005,0.001,0.75,0.005,0,Other,0.024771524,0.031240046
0.0005,0.005,0.75,0.005,0,Other,0.024724721,0.030869383
0.0005,0.01,0.75,0.005,0,Other,0.02553575,0.031646825
0.0005,0.05,0.75,0.005,0,Other,0.01859241,0.031045914
0.0005,0.1,0.75,0.005,0,Other,0.016291879,0.031183312
0.0005,0.0001,0.75,0.005,1,Other,0.026145247,0.031937524
0.0005,0.0005,0.75,0.005,1,Other,0.024892366,0.031005186
0.0005,0.001,0.75,0.005,1,Other,0.025341429,0.031774681
0.0005,0.005,0.75,0.005,1,Other,0.024841004,0.031054664
0.0005,0.01,0.75,0.005,1,Other,0.025842532,0.032116533
0.0005,0.05,0.75,0.005,1,Other,0.016975743,0.029871115
0.0005,0.1,0.75,0.005,1,Other,0.015297567,0.030974538
0.0005,0.0001,0.75,0.005,2,Other,0.025040257,0.031764412
0.0005,0.0005,0.75,0.005,2,Other,0.026280782,0.032172109
0.0005,0.001,0.75,0.005,2,Other,0.024764435,0.031794483
0.0005,0.005,0.75,0.005,2,Other,0.025578927,0.031176451
0.0005,0.01,0.75,0.005,2,Other,0.02532181,0.03166216
0.0005,0.05,0.75,0.005,2,Other,0.015679887,0.029891863
0.0005,0.1,0.75,0.005,2,Other,0.012009336,0.02982976
0.0005,0.0001,0.75,0.005,0,PMEC,0.027189014,0.032297827
0.0005,0.0005,0.75,0.005,0,PMEC,0.027209456,0.03215284
0.0005,0.001,0.75,0.005,0,PMEC,0.026680231,0.032115715
0.0005,0.005,0.75,0.005,0,PMEC,0.026697272,0.032281247
0.0005,0.01,0.75,0.005,0,PMEC,0.024947492,0.031165636
0.0005,0.05,0.75,0.005,0,PMEC,0.013529727,0.031830834
0.0005,0.1,0.75,0.005,0,PMEC,0.00806899,0.032724522
0.0005,0.0001,0.75,0.005,1,PMEC,0.028535149,0.033473899
0.0005,0.0005,0.75,0.005,1,PMEC,0.02774683,0.032620797
0.0005,0.001,0.75,0.005,1,PMEC,0.02772108,0.032655954
0.0005,0.005,0.75,0.005,1,PMEC,0.026346172,0.031583163
0.0005,0.01,0.75,0.005,1,PMEC,0.025977355,0.031963695
0.0005,0.05,0.75,0.005,1,PMEC,0.011476599,0.029957402
0.0005,0.1,0.75,0.005,1,PMEC,0.009250072,0.034101337
0.0005,0.0001,0.75,0.005,2,PMEC,0.026661859,0.032176633
0.0005,0.0005,0.75,0.005,2,PMEC,0.0278165,0.033069711
